"Component_A","Component_B","PCA_Component","DTW_Distance"
"group0_jointlead_A","group0_jointlead_B",1,1852.59021146869
"group0_jointlead_A","group0_jointlead_B",1,8379.94268295886
"group0_jointlead_A","group12_jointlead_B",1,5781.29477248493
"group0_jointlead_A","group12_jointlead_B",1,10166.26577074
"group0_jointlead_A","group1_jointlead_B",1,5189.8013642533
"group0_jointlead_A","group1_jointlead_B",1,6263.26317369728
"group0_jointlead_A","group2_jointlead_B",1,4975.61927552127
"group0_jointlead_A","group2_jointlead_B",1,5419.08748796232
"group0_jointlead_A","group3_jointlead_B",1,5031.36321933867
"group0_jointlead_A","group3_jointlead_B",1,9360.34629976449
"group0_jointlead_A","group6_jointlead_B",1,6648.67735728257
"group0_jointlead_A","group6_jointlead_B",1,4333.04447970058
"group0_jointlead_A","group0_jointlead_B",2,2985.04701090804
"group0_jointlead_A","group0_jointlead_B",2,3749.9529448611
"group0_jointlead_A","group12_jointlead_B",2,5456.30819325053
"group0_jointlead_A","group12_jointlead_B",2,4178.21322487759
"group0_jointlead_A","group1_jointlead_B",2,1834.48932124433
"group0_jointlead_A","group1_jointlead_B",2,2893.16105801353
"group0_jointlead_A","group2_jointlead_B",2,5267.67725469341
"group0_jointlead_A","group2_jointlead_B",2,3430.81692344915
"group0_jointlead_A","group3_jointlead_B",2,5034.67788928788
"group0_jointlead_A","group3_jointlead_B",2,3640.46912824856
"group0_jointlead_A","group6_jointlead_B",2,3781.92217723941
"group0_jointlead_A","group6_jointlead_B",2,1781.79735553653
"group12_jointlead_A","group0_jointlead_B",1,7159.76758994424
"group12_jointlead_A","group0_jointlead_B",1,15210.0236693643
"group12_jointlead_A","group12_jointlead_B",1,2126.93864364704
"group12_jointlead_A","group12_jointlead_B",1,15145.9415341566
"group12_jointlead_A","group1_jointlead_B",1,7136.986605906
"group12_jointlead_A","group1_jointlead_B",1,9327.78232502815
"group12_jointlead_A","group2_jointlead_B",1,4934.78770345442
"group12_jointlead_A","group2_jointlead_B",1,5625.14608158684
"group12_jointlead_A","group3_jointlead_B",1,2867.76112740563
"group12_jointlead_A","group3_jointlead_B",1,12808.5994885836
"group12_jointlead_A","group6_jointlead_B",1,12433.2427496101
"group12_jointlead_A","group6_jointlead_B",1,5957.3135660418
"group12_jointlead_A","group0_jointlead_B",2,3116.26144656973
"group12_jointlead_A","group0_jointlead_B",2,1201.31997450522
"group12_jointlead_A","group12_jointlead_B",2,4581.11031691399
"group12_jointlead_A","group12_jointlead_B",2,418.687250498882
"group12_jointlead_A","group1_jointlead_B",2,2952.67663937133
"group12_jointlead_A","group1_jointlead_B",2,1617.14147170501
"group12_jointlead_A","group2_jointlead_B",2,2999.46931882504
"group12_jointlead_A","group2_jointlead_B",2,2579.00693090631
"group12_jointlead_A","group3_jointlead_B",2,4146.61121236923
"group12_jointlead_A","group3_jointlead_B",2,2088.65835328698
"group12_jointlead_A","group6_jointlead_B",2,2509.62155574062
"group12_jointlead_A","group6_jointlead_B",2,2457.37265786809
"group1_jointlead_A","group0_jointlead_B",1,4991.27924259472
"group1_jointlead_A","group0_jointlead_B",1,3289.43731113023
"group1_jointlead_A","group12_jointlead_B",1,10643.1025452508
"group1_jointlead_A","group12_jointlead_B",1,5109.06498765904
"group1_jointlead_A","group1_jointlead_B",1,2248.80703527252
"group1_jointlead_A","group1_jointlead_B",1,1165.70499793559
"group1_jointlead_A","group2_jointlead_B",1,6523.47677500219
"group1_jointlead_A","group2_jointlead_B",1,4875.06924798723
"group1_jointlead_A","group3_jointlead_B",1,6845.68071447267
"group1_jointlead_A","group3_jointlead_B",1,5855.56256495504
"group1_jointlead_A","group6_jointlead_B",1,4409.80323655143
"group1_jointlead_A","group6_jointlead_B",1,4509.33964042068
"group1_jointlead_A","group0_jointlead_B",2,4311.28021998101
"group1_jointlead_A","group0_jointlead_B",2,5643.03460062416
