"Component_A","Component_B","PCA_Component","DTW_Distance"
"group0_leadfollow_A","group0_leadfollow_B",1,1113.55802049689
"group0_leadfollow_A","group0_leadfollow_B",1,5787.04943293564
"group0_leadfollow_A","group1_leadfollow_B",1,6123.74382579028
"group0_leadfollow_A","group1_leadfollow_B",1,8258.03973068358
"group0_leadfollow_A","group3_leadfollow_B",1,5914.97725854
"group0_leadfollow_A","group3_leadfollow_B",1,4507.11501690148
"group0_leadfollow_A","group4_leadfollow_B",1,9035.03680936887
"group0_leadfollow_A","group4_leadfollow_B",1,8999.34638054859
"group0_leadfollow_A","group6_leadfollow_B",1,5381.04877119883
"group0_leadfollow_A","group6_leadfollow_B",1,4054.63136509648
"group0_leadfollow_A","group8_leadfollow_B",1,7337.96754073675
"group0_leadfollow_A","group8_leadfollow_B",1,4560.48643906544
"group0_leadfollow_A","group0_leadfollow_B",2,3467.66850348815
"group0_leadfollow_A","group0_leadfollow_B",2,3750.68273813248
"group0_leadfollow_A","group1_leadfollow_B",2,3220.67705522469
"group0_leadfollow_A","group1_leadfollow_B",2,2711.12670613326
"group0_leadfollow_A","group3_leadfollow_B",2,2898.7933932844
"group0_leadfollow_A","group3_leadfollow_B",2,1831.84450796245
"group0_leadfollow_A","group4_leadfollow_B",2,3685.42903780701
"group0_leadfollow_A","group4_leadfollow_B",2,4019.410845267
"group0_leadfollow_A","group6_leadfollow_B",2,3177.8699696866
"group0_leadfollow_A","group6_leadfollow_B",2,1923.75441829201
"group0_leadfollow_A","group8_leadfollow_B",2,5243.61553825034
"group0_leadfollow_A","group8_leadfollow_B",2,2171.62842425076
"group1_leadfollow_A","group0_leadfollow_B",1,5755.39057732254
"group1_leadfollow_A","group0_leadfollow_B",1,8258.52261649261
"group1_leadfollow_A","group1_leadfollow_B",1,1167.363555061
"group1_leadfollow_A","group1_leadfollow_B",1,8002.6284575003
"group1_leadfollow_A","group3_leadfollow_B",1,4601.37238850088
"group1_leadfollow_A","group3_leadfollow_B",1,6093.18094832544
"group1_leadfollow_A","group4_leadfollow_B",1,7952.31078121439
"group1_leadfollow_A","group4_leadfollow_B",1,12521.8327540945
"group1_leadfollow_A","group6_leadfollow_B",1,5379.40521970402
"group1_leadfollow_A","group6_leadfollow_B",1,7054.26494117892
"group1_leadfollow_A","group8_leadfollow_B",1,9932.19373319726
"group1_leadfollow_A","group8_leadfollow_B",1,5156.61878722378
"group1_leadfollow_A","group0_leadfollow_B",2,4370.49251109206
"group1_leadfollow_A","group0_leadfollow_B",2,1997.17069870439
